"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Name","Locker_Name","Locker Box Door","Locker Size","Address","Location","PopupInfo","Latitude","Longitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac","Status"
"POINT (-73.92355449999997 40.73937840000008)","4","Queens","402","26","37","12","7","44 St and 48 Ave","GoLocker-C&A Grocery","28","S","4806 46 St, Sunnyside NY 11377","Outdoor","GoLocker","40.7393784","-73.9235545","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98791622999994 40.76471991000005)","1","Manhattan","104","3","67","47","12","9th Av and W 52nd St","Westside Home Center","22","S","778 9th Ave, New York, NY 10019","Outdoor","GoLocker","40.76471991","-73.98791623","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.96926879999995 40.580711360000066)","3","Brooklyn","313","48","46","23","8","Neptune Ave and Ocean Pkwy","GoLocker-425 Neptune Ave","16","M","425 Neptune Ave, Brooklyn, NY 11224","Outdoor","GoLocker","40.58071136","-73.9692688","Coney Island-Sea Gate","AE",,"1","Active"
"POINT (-73.98083796999998 40.728865330000076)","1","Manhattan","103","2","74","27","10","E 12th St and Avenue A","GoLocker 508","40","S","508  East 12th St, Newyork, NY 10009","Indoor","GoLocker","40.72886533","-73.98083797","East Village","X","AREA OF MINIMAL FLOOD HAZARD","2","Active"
"POINT (-74.00179120999996 40.64257003000006)","3","Brooklyn","312","38","49","17","10","8 Ave and 47 St","GoLocker-BSK Grocery","14","S","4701 8 Ave, Brooklyn NY 11220","Outdoor","GoLocker","40.64257003","-74.00179121","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.00808176999993 40.64352783000004)","3","Brooklyn","307","43","49","17","10","6th Ave and 51st St","GoLocker- City Fresh Market","46","M","5009 6th Ave, Brooklyn, NY 11220","Outdoor","GoLocker","40.64352783","-74.00808177","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-74.03019782999996 40.62514951000003)","3","Brooklyn","310","47","46","26","11","3 Ave and 84 St","GoLocker- iFix- Bay Ridge","17","S","8319 3rd Ave,Brooklyn, NY 11209","Indoor","GoLocker","40.62514951","-74.03019783","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.98278399999998 40.69107810000003)","3","Brooklyn","302","33","52","26","10","Albee Square W and Fulton St","City Point- 2","28","S","445 Albee Square W, Brooklyn, NY 11201","Indoor","GoLocker","40.6910781","-73.982784","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.92177219999996 40.68985630000003)","3","Brooklyn","304","37","54","18","7","Bushwick Ave and Woodbine St","GoLocker-Bushwick Organic Deli 2","31","S","1104 Bushwick Ave, Brooklyn NY 11221","Outdoor","GoLocker","40.6898563","-73.9217722","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.91127016999997 40.74472302000004)","4","Queens","402","26","37","12","6","53 St and Roosevelt Ave","GoLocker-Natures Vida","5","S","53-05 Roosevelt Ave, Woodside NY 11377","Outdoor","GoLocker","40.74472302","-73.91127017","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
"POINT (-73.95792197999998 40.676043950000064)","3","Brooklyn","308","35","57","25","9","St Marks Av and Classon Av","GoLocker- St. Marks","19","S","500 St Marks Ave, Brooklyn, NY 11238","Outdoor","GoLocker","40.67604395","-73.95792198","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X","Active"
